reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:00,0,ro,'0,,
,,DESC,modue_subtype,15:08,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:00,4,rw,'0,::locked[pwr_en_key==8'hAB],Enables power to the I2C core; effective only when written together with pwr_en_key = 0xAB in the same access.
,,PWR_EN,pwr_en_key,31:24:00,4,rw,'0,::key,Write-protect key for pwr_en; must equal 0xAB in the same write for pwr_en to take effect.
,,RST_CTRL,rst,0:00,8,rw,'0,::locked[rst_key==8'hAB],Issues a software reset to the I2C core; effective only when written together with rst_key = 0xAB in the same access.
,,RST_CTRL,rst_sts_clr,1:01,8,rw_pulse,'0,::locked[rst_key==8'hAB],Pulse to clear RST_STS.rst_sts once reset has completed; effective only when written together with rst_key = 0xAB.
,,RST_CTRL,rst_key,31:24:00,8,rw,'0,::key,Write-protect key for rst and rst_sts_clr; must equal 0xAB in the same write for those bits to take effect.
,,RST_STS,rst_sts,0:00,12,ro,'0,,
,,CLK_CTRL,en_async_clk_req,0:00,16,rw,'0,,Enables the clk_32mhz_req/clk_32mhz_vld handshake used to request the high-speed AHB clock before clksel switches the functional clock to the AHB domain.
,,CLK_CTRL,clksel,1:01,16,rw,'0,,"0:4Mhz, 1:ahb"
,,CLK_CTRL,clkdiv,4:02,16,rw,'0,,Divides the clock selected by clksel to generate the internal I2C functional clock: f_func = f_selected_clock / clkdiv.
,,CLK_CTRL,hold_cnt,7:05,16,rw,7,,Additional functional-clock-cycle hold margin applied alongside setup_cnt for slave-mode ACK/NACK timing; not required to change for a standard speed/clock reconfiguration.
,,CLK_CTRL,setup_cnt,10:08,16,rw,2,,"Max for 32Mhz clk 250ns in standard mode.
0 : invalid
1 : scl released at same clk cycle as ack/nack generated
2 : scl released 1 clk cycle after ack/nack generated and so on"
,,DBG_CTRL,run_on_halt,0:00,20,rw,'0,,"When set, keeps the I2C core state machine running while the CPU/debugger is halted, instead of freezing it together with the core."
,,DBG_CTRL,soft_stop,1:01,20,rw,'0,,"Forces the I2C core to idle gracefully under software control, without a hardware reset, for debug or controlled shutdown."
,,MASTER_SCL_GEN,mst_scl_cnt_high_val,7:00,24,rw,16,,"Functional-clock cycles SCL is held HIGH per bit (I2C-bus spec t_HIGH minimum). For 100kHz with a 32MHz AHB input clock and clkdiv=2 (16MHz/62.5ns functional clock), program 64 (t_HIGH=4000ns min)."
,,MASTER_SCL_GEN,mst_scl_cnt_low_val,15:08,24,rw,16,,"Functional-clock cycles SCL is held LOW per bit (I2C-bus spec t_LOW minimum). For 100kHz with a 32MHz AHB input clock and clkdiv=2 (16MHz/62.5ns functional clock), program 76 (t_LOW=4700ns min)."
,,MASTER_TIMING_CONSTRAINT,mst_scl_start_cnt,7:00,28,rw,16,,"START condition hold time (t_HD;STA), in functional-clock cycles. For 100kHz with a 32MHz AHB input clock and clkdiv=2, program 64 (4000ns min)."
,,MASTER_TIMING_CONSTRAINT,mst_sda_stop_cnt,15:08,28,rw,16,,"STOP condition setup time (t_SU;STO), in functional-clock cycles. For 100kHz with a 32MHz AHB input clock and clkdiv=2, program 64 (4000ns min)."
,,MASTER_TIMING_CONSTRAINT,mst_stop_start_buffer_cnt,23:16,28,rw,16,,"Minimum bus-free time between a STOP and the next START (t_BUF), in functional-clock cycles. For 100kHz with a 32MHz AHB input clock and clkdiv=2, program 76 (4700ns min)."
,,MASTER_TIMING_CONSTRAINT,mst_restart_setup_cnt,31:24:00,28,rw,16,,"Repeated-START setup time (t_SU;STA), in functional-clock cycles. For 100kHz with a 32MHz AHB input clock and clkdiv=2, program 76 (4700ns min)."
,,MASTER_CLKSTRETCH_CNT,mst_max_clkstretch_cnt,31:00:00,32,rw,40000,,"Maximum functional-clock cycles the master allows a slave to stretch SCL before flagging clkstretch_timeout. Independent of I2C_SPEED -- leave at reset default (40000 cycles) for 100kHz/32MHz-AHB/clkdiv=2, or size to a desired timeout via ceil(timeout_us*1000/T_func_ns)."
,,SLAVE_CLKSTRETCH_CNT,slv_max_clkstretch_cnt,31:00:00,36,rw,100000,,"Maximum functional-clock cycles this slave may itself stretch SCL before flagging clkstretch_timeout. Independent of I2C_SPEED -- leave at reset default (100000 cycles) for 100kHz/32MHz-AHB/clkdiv=2, sized the same way as mst_max_clkstretch_cnt."
,,SMBUS_TIMEOUT_CNT,smbus_timeout_cnt,31:00:00,40,rw,140000,,"Maximum functional-clock cycles SCL may be held low by an external device before flagging smbus_timeout. Independent of I2C_SPEED -- leave at reset default (140000 cycles) for 100kHz/32MHz-AHB/clkdiv=2, or size to the desired SMBus timeout (e.g. 25-35ms) via ceil(timeout_us*1000/T_func_ns)."
,,INTR_STS,intr_first,5:00,44,ro,'0,,
,,INTR_EVENT,arb_lost,0:00,48,rw_w1c,'0,,Set when the master loses bus arbitration to another master; write 1 to clear.
,,INTR_EVENT,slv_gencall_intr,1:01,48,rw_w1c,'0,,Set when the slave receives a General Call address (0x00); write 1 to clear.
,,INTR_EVENT,slv_start,2:02,48,rw_w1c,'0,,Set when a START condition addressed to this slave is detected; write 1 to clear.
,,INTR_EVENT,slv_stop,3:03,48,rw_w1c,'0,,Set when a STOP condition ends a transaction addressed to this slave; write 1 to clear.
,,INTR_EVENT,tx_done,4:04,48,rw_w1c,'0,,1 byte transmission done
,,INTR_EVENT,rx_done,5:05,48,rw_w1c,'0,,1 byte recieve done
,,INTR_EVENT,smbus_timeout,6:06,48,rw_w1c,'0,,Set when the SMBus clock-low timeout (SMBUS_TIMEOUT_CNT) expires; write 1 to clear.
,,INTR_EVENT,clkstretch_timeout,7:07,48,rw_w1c,'0,,Set when a clock-stretch exceeds its configured maximum duration (MASTER_/SLAVE_CLKSTRETCH_CNT); write 1 to clear.
,,INTR_EVENT,pec_err,8:08,48,rw_w1c,'0,,Set when a received PEC/CRC byte does not match the calculated value; write 1 to clear.
,,INTR_EVENT,txfifo_empty,9:09,48,rw_w1c,'0,,Set when the TX FIFO becomes empty; write 1 to clear.
,,INTR_EVENT,rxfifo_full,10:10,48,rw_w1c,'0,,Set when the RX FIFO becomes full; write 1 to clear.
,,INTR_EVENT,txfifo_half_full,11:11,48,rw_w1c,'0,,Set when the TX FIFO level drops to half-full or below; write 1 to clear.
,,INTR_EVENT,rxfifo_half_full,12:12,48,rw_w1c,'0,,Set when the RX FIFO level reaches half-full or above; write 1 to clear.
,,INTR_EVENT,mst_stop_intr,13:13,48,rw_w1c,'0,,"Set when the master generates a STOP condition, completing a master transaction; write 1 to clear."
,,INTR_EVENT,mst_start_intr,14:14,48,rw_w1c,'0,,"Set when the master generates a START condition, beginning a master transaction; write 1 to clear."
,,INTR_EVENT,mst_nack,15:15,48,rw_w1c,'0,,Set when the master receives a NACK from the addressed slave; write 1 to clear.
,,INTR_EVENT,dma_done_rx,16:16,48,rw_w1c,'0,,Set when an RX DMA transfer completes; write 1 to clear.
,,INTR_EVENT,dma_done_tx,17:17,48,rw_w1c,'0,,Set when a TX DMA transfer completes; write 1 to clear.
