reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,PWR_EN,pwr_en,0:0,0,rw,'0,::locked[pwr_en_key==8'hD7],
,,PWR_EN,pwr_en_key,31:24,0,rw,'0,::key,
,,RST_CTRL,rst,0:0,4,rw,'0,::locked[rst_key==8'hD7],
,,RST_CTRL,rst_sts_clr,1:1,4,rw_pulse,'0,::locked[rst_key==8'hD7],
,,RST_CTRL,rst_key,31:24,4,rw,'0,::key,
,,RST_STS,rst_sts,0:0,8,ro,'0,,
,,CRCCONFIG,poly_type,0:0,12,rw,'0,,
,,CRCCONFIG,input_bit_rev,1:1,12,rw,'0,,
,,CRCCONFIG,output_bit_rev,2:2,12,rw,'0,,
,,CRCCONFIG,in_is_big_endian,3:3,12,rw,'0,,
,,CRCCONFIG,out_is_big_endian,4:4,12,rw,'0,,
,,CRCSEED,seed,31:0,16,rw,'0,::write,
,,CRCINPUT[1024],data,31:0,20,rw,'0,::extern,
,,CRCRESULT,result,31:0,4116,ro,'0,::read,
