reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description,sdc
,,DESC,module_type,7:0,0,ro,'0,,,
,,DESC,modue_subtype,15:8,0,ro,'0,,,
,,DESC,major_rev,19:16,0,ro,'0,,,
,,DESC,minor_rev,23:20,0,ro,'0,,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hAB],,
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hAB],,
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hAB],,
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,,
,,RST_STS,rst_sts,0:0,12,ro,'0,,,
,,CLK_CTRL,clk_en,0:0,16,rw,'0,,,
,,INTR_STS,intr_first,7:0,20,ro,'0,,,
,,INTR_EVENT,dac_rdy,0:0,24,rw_w1c,'0,,,
,,INTR_EVENT,fifo_full,1:1,24,rw_w1c,'0,,,
,,INTR_EVENT,fifo_almost_full,2:2,24,rw_w1c,'0,,,
,,INTR_EVENT,fifo_empty,3:3,24,rw_w1c,'0,,,
,,INTR_EVENT,fifo_almost_empty,4:4,24,rw_w1c,'0,,,
,,INTR_EVENT,fifo_overflow,5:5,24,rw_w1c,'0,,,
,,INTR_EVENT,fifo_underflow,6:6,24,rw_w1c,'0,,,
,,INTR_EVENT,dma_done,7:7,24,rw_w1c,'0,,,
,,INTR_EN,dac_rdy_en,0:0,28,rw_me,'0,,,
,,INTR_EN,fifo_full_en,1:1,28,rw_me,'0,,,
,,INTR_EN,fifo_almost_full_en,2:2,28,rw_me,'0,,,
,,INTR_EN,fifo_empty_en,3:3,28,rw_me,'0,,,
,,INTR_EN,fifo_almost_empty_en,4:4,28,rw_me,'0,,,
,,INTR_EN,fifo_overflow_en,5:5,28,rw_me,'0,,,
,,INTR_EN,fifo_underflow_en,6:6,28,rw_me,'0,,,
,,INTR_EN,dma_done_en,7:7,28,rw_me,'0,,,
,,INTR_NMI_EN,dac_rdy_nmi_en,0:0,32,rw_me,'0,,,
,,INTR_NMI_EN,fifo_full_nmi_en,1:1,32,rw_me,'0,,,
,,INTR_NMI_EN,fifo_almost_full_nmi_en,2:2,32,rw_me,'0,,,
,,INTR_NMI_EN,fifo_empty_nmi_en,3:3,32,rw_me,'0,,,
,,INTR_NMI_EN,fifo_almost_empty_nmi_en,4:4,32,rw_me,'0,,,
,,INTR_NMI_EN,fifo_overflow_nmi_en,5:5,32,rw_me,'0,,,
,,INTR_NMI_EN,fifo_underflow_nmi_en,6:6,32,rw_me,'0,,,
,,INTR_NMI_EN,dma_done_nmi_en,7:7,32,rw_me,'0,,,
,,EVENT_EN,dac_rdy_event_en,0:0,36,rw_me,'0,,,
,,EVENT_EN,fifo_full_event_en,1:1,36,rw_me,'0,,,
,,EVENT_EN,fifo_almost_full_event_en,2:2,36,rw_me,'0,,,
,,EVENT_EN,fifo_empty_event_en,3:3,36,rw_me,'0,,,
,,EVENT_EN,fifo_almost_empty_event_en,4:4,36,rw_me,'0,,,
,,EVENT_EN,fifo_overflow_event_en,5:5,36,rw_me,'0,,,
,,EVENT_EN,fifo_underflow_event_en,6:6,36,rw_me,'0,,,
,,EVENT_EN,dma_done_event_en,7:7,36,rw_me,'0,,,
,,INTR_SW_SET,dac_rdy_sw_set,0:0,40,rw_pulse,'0,,,
,,INTR_SW_SET,fifo_full_sw_set,1:1,40,rw_pulse,'0,,,
,,INTR_SW_SET,fifo_almost_full_sw_set,2:2,40,rw_pulse,'0,,,
,,INTR_SW_SET,fifo_empty_sw_set,3:3,40,rw_pulse,'0,,,
,,INTR_SW_SET,fifo_almost_empty_sw_set,4:4,40,rw_pulse,'0,,,
,,INTR_SW_SET,fifo_overflow_sw_set,5:5,40,rw_pulse,'0,,,
,,INTR_SW_SET,fifo_underflow_sw_set,6:6,40,rw_pulse,'0,,,
,,INTR_SW_SET,dma_done_sw_set,7:7,40,rw_pulse,'0,,,
,,EVENT_CTRL,chan_id0,3:0,44,rw,'0,,,
,,DAC_CTRL0,enable,0:0,48,rw,'0,,,
,,DAC_CTRL0,res,8:8,48,rw,'0,,,static
,,DAC_CTRL0,data_fmt,16:16,48,rw,'0,,,static
,,DAC_CTRL1,amp_en,0:0,52,rw,'0,,,static
,,DAC_CTRL1,amp_hiz,8:8,52,rw,'0,,,static
,,DAC_CTRL1,vrefp_sel,16:16,52,rw,'0,,,static
,,DAC_CTRL1,out_en,24:24,52,rw,'0,,,static
,,DAC_CTRL2,fifo_en,0:0,56,rw,'0,,,static
,,DAC_CTRL2,fifo_th,9:8,56,rw,'0,,,static
,,DAC_CTRL2,fifo_trig_sel,17:16,56,rw,'0,,,static
,,DAC_CTRL2,dma_trig_en,24:24,56,rw,'0,,,
,,DAC_CTRL3,samp_tim_en,0:0,60,rw,'0,,,
,,DAC_CTRL3,samp_tim_rate,11:8,60,rw,'0,,,static
,,DAC_DATA,dac_code,12:0,64,rw,'0,::write,,
,,CAL_CTRL,cal_en,0:0,68,rw,'0,,,static
,,CAL_CTRL,cal_sel,1:1,68,rw,'0,,,static
,,CAL_STS,cal_done,0:0,72,ro,'0,,,
,,CAL_STS,cal_data,14:8,72,ro,'0,,,
,,SPARE_CTRL,cfg0,7:0,76,rw,'0,,,
,,SPARE_CTRL,cfg1,15:8,76,rw,'0,,,
,,SPARE_STS,sts0,7:0,80,ro,'0,,,
,,SPARE_STS,sts1,15:8,80,ro,'0,,,
