reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hBC],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hBC],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hBC],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,clk_en,0:0,16,rw,'0,,
,,DBG_CTRL,halt_mode,0:0,20,rw,'0,0: dont use halt 1: use halt,
,,INTR_STS,intr_first,5:0,24,ro,'0,,
,,INTR_EVENT,dma_done_0,0:0,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_1,1:1,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_2,2:2,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_3,3:3,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_4,4:4,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_5,5:5,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_6,6:6,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_7,7:7,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_8,8:8,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_9,9:9,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_10,10:10,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_11,11:11,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_12,12:12,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_13,13:13,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_14,14:14,28,rw_w1c,'0,,
,,INTR_EVENT,dma_done_15,15:15,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_0,16:16,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_1,17:17,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_2,18:18,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_3,19:19,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_4,20:20,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_5,21:21,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_6,22:22,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_7,23:23,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_8,24:24,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_9,25:25,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_10,26:26,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_11,27:27,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_12,28:28,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_13,29:29,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_14,30:30,28,rw_w1c,'0,,
,,INTR_EVENT,early_irq_15,31:31,28,rw_w1c,'0,,
,,INTR_EN_0,dma_done_en_0,0:0,32,rw_me,'0,,
,,INTR_EN_0,dma_done_en_1,1:1,32,rw_me,'0,,
,,INTR_EN_0,dma_done_en_2,2:2,32,rw_me,'0,,
,,INTR_EN_0,dma_done_en_3,3:3,32,rw_me,'0,,
,,INTR_EN_0,dma_done_en_4,4:4,32,rw_me,'0,,
,,INTR_EN_0,dma_done_en_5,5:5,32,rw_me,'0,,
