base_addr,instance,module,description
00000000,,bootrom,
00010000,,flash_mem,
01000000,,bootrom,
20000000,,ram,
3FFC0000,mcu_ctrl,mcu_ctrl,
3FFC1000,,,pl230
3FFC2000,dma,dma,
3FFC3000,event_fabric,event_fabric,
3FFC4000,iomux,iomux,
3FFC5000,otp,otp,
3FFC6000,comp_0,comp,
3FFC7000,comp_1,comp,
3FFC8000,comp_2,comp,
3FFC9000,opa_0,opamp,
3FFCA000,i2c_0,i2c,
3FFCB000,i2c_1,i2c,
3FFCC000,uart_0,uart,
3FFCD000,rtc,rtc,
3FFCE000,wdog_0,fd_watchdog,
3FFCF000,wdog_1,fd_watchdog,
3FFD0000,,,
3FFD1000,dac,dac,
3FFD2000,vref,vref,
3FFD3000,uart_1,uart,
3FFD4000,timer_a0,fd_timer,
3FFD5000,timer_a1,timer_tima_num_input2,
3FFD6000,timer_g0,timer_timg_num_input2,
3FFD7000,timer_g1,timer_timg_num_input2,
3FFD8000,,,
3FFD9000,,,
3FFDA000,,,
3FFDB000,,,vultan_top
3FFDC000,flash,flash,
3FFDD000,opa_1,opamp,
3FFDE000,secure_ip_cpu,secure_ip_cpu,
3FFDF000,,,
3FFE0000,,,
3FFE1000,,,
3FFE2000,,,
3FFE3000,,,
3FFE4000,,,
3FFE5000,,,
3FFE6000,,,
3FFE7000,,,
3FFE8000,,,
3FFE9000,,,
3FFEA000,,,
3FFEB000,,,
3FFEC000,,,
3FFED000,,,
3FFEE000,,,
3FFEF000,,,
3FFF0000,,,
3FFF1000,,,
3FFF2000,,,
3FFF3000,,,
3FFF4000,,,
3FFF5000,,,
3FFF6000,,,
3FFF7000,,,
3FFF8000,,,
3FFF9000,,,
3FFFA000,,,
3FFFB000,,,
3FFFC000,,,
3FFFD000,,,
3FFFE000,,,
3FFFF000,,,
4000_0000,,,
4001_0000,gpio,gpio,
4001_2000,,,
4001_F000,,sysctrl,sysctrl
4002_0000,crc,crc,
4003_0000,spi,spi,
4004_0000,adc_0,adc,
4005_0000,adc_1,adc,
4006_0000,gpio_dma,gpio,
4007_0000,,,
F000_0000,,rom_table,
