reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'h98],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'h98],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'h98],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,INTR_STS,intr_first,3:0,16,ro,'0,,
,,INTR_EVENT,time_prd_exp,0:0,20,rw_w1c,'0,,
,,INTR_EVENT,restart_in_closed_window,1:1,20,rw_w1c,'0,,
,,INTR_EVENT,restart_reg_incorrect_data,2:2,20,rw_w1c,'0,,
,,INTR_EVENT,wr_to_ctl_regs_after_wwdt_en,3:3,20,rw_w1c,'0,,
,,INTR_EVENT,wrg_pwd_or_access_to_ctrl_regs,4:4,20,rw_w1c,'0,,
,,INTR_EN,time_prd_exp_en,0:0,24,rw_me,'0,,
,,INTR_EN,restart_in_closed_window_en,1:1,24,rw_me,'0,,
,,INTR_EN,restart_reg_incorrect_data_en,2:2,24,rw_me,'0,,
,,INTR_EN,wr_to_ctl_regs_after_wwdt_en_en,3:3,24,rw_me,'0,,
,,INTR_EN,wrg_pwd_or_access_to_ctrl_regs_en,4:4,24,rw_me,'0,,
,,INTR_NMI_EN,time_prd_exp_nmi_en,0:0,28,rw_me,'0,,
,,INTR_NMI_EN,restart_within_closed_window_nmi_en,1:1,28,rw_me,'0,,
,,INTR_NMI_EN,restart_reg_incorrect_data_nmi_en,2:2,28,rw_me,'0,,
,,INTR_NMI_EN,wr_to_ctl_regs_after_wwdt_en_nmi_en,3:3,28,rw_me,'0,,
,,INTR_NMI_EN,wrg_pwd_or_access_to_ctrl_regs_nmi_en,4:4,28,rw_me,'0,,
,,EVENT_EN,time_prd_exp_event_en,0:0,32,rw_me,'0,,
,,INTR_SW_SET,time_prd_exp_sw_set,0:0,36,rw_pulse,'0,,
,,INTR_SW_SET,restart_within_closed_window_sw_set,1:1,36,rw_pulse,'0,,
,,INTR_SW_SET,restart_reg_incorrect_data_sw_set,2:2,36,rw_pulse,'0,,
,,INTR_SW_SET,wr_to_ctl_regs_after_wwdt_en_sw_set,3:3,36,rw_pulse,'0,,
,,INTR_SW_SET,wrg_pwd_or_access_to_ctrl_regs_sw_set,4:4,36,rw_pulse,'0,,
,,HALT_MODE,run_in_halt_mode,0:0,40,rw,'0,"0h=Peripheral Freeze in halt mode
1h=Peripheral runs in halt mode",
,,WWDT_EN,wwdt_en,0:0,44,rw,'0,"::locked[wwdt_en_key==8'h98],::write",
,,WWDT_EN,wwdt_en_key,31:24,44,rw,'0,::key,
,,WWDT_CTL0,clk_div,2:0,48,rw,'0,"::locked[wwdt_ctl0_key==8'h98],::write",
,,WWDT_CTL0,total_time_period,5:3,48,rw,4,"::locked[wwdt_ctl0_key==8'h98],::write",
,,WWDT_CTL0,closed_window,8:6,48,rw,'0,"::locked[wwdt_ctl0_key==8'h98],::write",
,,WWDT_CTL0,is_timer_mode,9:9,48,rw,'0,"::locked[wwdt_ctl0_key==8'h98],::write",
,,WWDT_CTL0,timer_repeat,10:10,48,rw,'0,"::locked[wwdt_ctl0_key==8'h98],::write",
,,WWDT_CTL0,stop_in_sleep_mode,11:11,48,rw,'0,"::locked[wwdt_ctl0_key==8'h98],::write",
,,WWDT_CTL0,sleep_policy_rst,12:12,48,rw,'0,"::locked[wwdt_ctl0_key==8'h98],::write",1 = Reset on sleep
,,WWDT_CTL0,violation_gen,13:13,48,rw,1,"::locked[wwdt_ctl0_key==8'h98],::write",1 = Generate violation in WWDT mode
,,WWDT_CTL0,wwdt_ctl0_key,31:24,48,rw,'0,::key,
,,WWDT_CTL1,total_wait_time_after_violation,15:0,52,rw,4,"::locked[wwdt_ctl1_key==8'h98],,::write",
,,WWDT_CTL1,wwdt_enabled_after_violation,16:16,52,rw,'0,"::locked[wwdt_ctl1_key==8'h98],::write",
,,WWDT_CTL1,wwdt_ctl1_key,31:24,52,rw,'0,::key,
,,WWDT_RESTART,restart,31:0,56,rw,167,::write,
,,WWDT_STS,run,0:0,60,ro,'0,,
