reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hAB],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,en_async_clk_req,0:0,16,rw,'0,,
,,CLK_CTRL,clksel,1:1,16,rw,'0,,
,,CLK_CTRL,clkdiv,4:2,16,rw,'0,,
,,CLK_CTRL,hold_cnt,7:5,16,rw,7,,
,,CLK_CTRL,setup_cnt,10:8,16,rw,2,,"Max for 32Mhz clk 250ns in standard mode. 
0 : invalid
1 : scl released at same clk cycle as ack/nack generated
2 : scl released 1 clk cycle after ack/nack generated and so on"
,,DBG_CTRL,run_on_halt,0:0,20,rw,'0,,
,,DBG_CTRL,soft_stop,1:1,20,rw,'0,,
,,MASTER_SCL_GEN,mst_scl_cnt_high_val,7:0,24,rw,16,,Max for 32Mhz clk 4us in standard mode
,,MASTER_SCL_GEN,mst_scl_cnt_low_val,15:8,24,rw,16,,Max for 32Mhz clk 4.7us in standard mode
,,MASTER_TIMING_CONSTRAINT,mst_scl_start_cnt,7:0,28,rw,16,,Max for 32Mhz clk 4us in standard mode (Start Hold time)
,,MASTER_TIMING_CONSTRAINT,mst_sda_stop_cnt,15:8,28,rw,16,,Max for 32Mhz 4us (Stop Setup Time)
,,MASTER_TIMING_CONSTRAINT,mst_stop_start_buffer_cnt,23:16,28,rw,16,,Max for 32Mhz 4.7us (Minimum time between stop and start)
,,MASTER_TIMING_CONSTRAINT,mst_restart_setup_cnt,31:24,28,rw,16,,
,,MASTER_CLKSTRETCH_CNT,mst_max_clkstretch_cnt,31:0,32,rw,40000,,max for 32Mhz 10ms (Maximum time for which master and clk stretch)
,,SLAVE_CLKSTRETCH_CNT,slv_max_clkstretch_cnt,31:0,36,rw,100000,,Max for 32Mhz 25ms (Maximum time slave can clk stretch)
,,SMBUS_TIMEOUT_CNT,smbus_timeout_cnt,31:0,40,rw,140000,,max for 32Mhz 35ms (Maximum time scl low allowed when external device is stretching)
,,INTR_STS,intr_first,5:0,44,ro,'0,,
,,INTR_EVENT,arb_lost,0:0,48,rw_w1c,'0,,
,,INTR_EVENT,slv_gencall_intr,1:1,48,rw_w1c,'0,,
,,INTR_EVENT,slv_start,2:2,48,rw_w1c,'0,,
,,INTR_EVENT,slv_stop,3:3,48,rw_w1c,'0,,
,,INTR_EVENT,tx_done,4:4,48,rw_w1c,'0,,1 byte transmission done
,,INTR_EVENT,rx_done,5:5,48,rw_w1c,'0,,1 byte recieve done
,,INTR_EVENT,smbus_timeout,6:6,48,rw_w1c,'0,,
,,INTR_EVENT,clkstretch_timeout,7:7,48,rw_w1c,'0,,
,,INTR_EVENT,pec_err,8:8,48,rw_w1c,'0,,
,,INTR_EVENT,txfifo_empty,9:9,48,rw_w1c,'0,,
,,INTR_EVENT,rxfifo_full,10:10,48,rw_w1c,'0,,
,,INTR_EVENT,txfifo_half_full,11:11,48,rw_w1c,'0,,
,,INTR_EVENT,rxfifo_half_full,12:12,48,rw_w1c,'0,,
,,INTR_EVENT,mst_stop_intr,13:13,48,rw_w1c,'0,,
