reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
28_reg_array_start,,PA_0,output_en,0:0,4,rw,'0,,
28_reg_array_start,,PA_0,input_en,1:1,4,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_start,,PA_0,drive_strength,3:2,4,rw,'0,,
28_reg_array_start,,PA_0,slew_rate,4:4,4,rw,'0,,
28_reg_array_start,,PA_0,pull_up,5:5,4,rw,'0,,
28_reg_array_start,,PA_0,pull_down,6:6,4,rw,'0,,
28_reg_array_start,,PA_0,hysteresis,7:7,4,rw,'0,,
28_reg_array_start,,PA_0,sel,10:8,4,rw,'0,,
28_reg_array_start,,PA_0,input_val,16:16,4,ro,'0,,
28_reg_array_body,,PA_1,output_en,0:0,8,rw,'0,,
28_reg_array_body,,PA_1,input_en,1:1,8,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_1,drive_strength,3:2,8,rw,'0,,
28_reg_array_body,,PA_1,slew_rate,4:4,8,rw,'0,,
28_reg_array_body,,PA_1,pull_up,5:5,8,rw,'0,,
28_reg_array_body,,PA_1,pull_down,6:6,8,rw,'0,,
28_reg_array_body,,PA_1,hysteresis,7:7,8,rw,'0,,
28_reg_array_body,,PA_1,sel,10:8,8,rw,'0,,
28_reg_array_body,,PA_1,input_val,16:16,8,ro,'0,,
28_reg_array_body,,PA_2,output_en,0:0,12,rw,'0,,
28_reg_array_body,,PA_2,input_en,1:1,12,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_2,drive_strength,3:2,12,rw,'0,,
28_reg_array_body,,PA_2,slew_rate,4:4,12,rw,'0,,
28_reg_array_body,,PA_2,pull_up,5:5,12,rw,'0,,
28_reg_array_body,,PA_2,pull_down,6:6,12,rw,'0,,
28_reg_array_body,,PA_2,hysteresis,7:7,12,rw,'0,,
28_reg_array_body,,PA_2,sel,10:8,12,rw,'0,,
28_reg_array_body,,PA_2,input_val,16:16,12,ro,'0,,
28_reg_array_body,,PA_3,output_en,0:0,16,rw,'0,,
28_reg_array_body,,PA_3,input_en,1:1,16,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_3,drive_strength,3:2,16,rw,'0,,
28_reg_array_body,,PA_3,slew_rate,4:4,16,rw,'0,,
28_reg_array_body,,PA_3,pull_up,5:5,16,rw,'0,,
28_reg_array_body,,PA_3,pull_down,6:6,16,rw,'0,,
28_reg_array_body,,PA_3,hysteresis,7:7,16,rw,'0,,
28_reg_array_body,,PA_3,sel,10:8,16,rw,'0,,
28_reg_array_body,,PA_3,input_val,16:16,16,ro,'0,,
28_reg_array_body,,PA_4,output_en,0:0,20,rw,'0,,
28_reg_array_body,,PA_4,input_en,1:1,20,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_4,drive_strength,3:2,20,rw,'0,,
28_reg_array_body,,PA_4,slew_rate,4:4,20,rw,'0,,
28_reg_array_body,,PA_4,pull_up,5:5,20,rw,'0,,
28_reg_array_body,,PA_4,pull_down,6:6,20,rw,'0,,
28_reg_array_body,,PA_4,hysteresis,7:7,20,rw,'0,,
28_reg_array_body,,PA_4,sel,10:8,20,rw,'0,,
28_reg_array_body,,PA_4,input_val,16:16,20,ro,'0,,
28_reg_array_body,,PA_5,output_en,0:0,24,rw,'0,,
28_reg_array_body,,PA_5,input_en,1:1,24,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_5,drive_strength,3:2,24,rw,'0,,
28_reg_array_body,,PA_5,slew_rate,4:4,24,rw,'0,,
28_reg_array_body,,PA_5,pull_up,5:5,24,rw,'0,,
28_reg_array_body,,PA_5,pull_down,6:6,24,rw,'0,,
28_reg_array_body,,PA_5,hysteresis,7:7,24,rw,'0,,
28_reg_array_body,,PA_5,sel,10:8,24,rw,'0,,
28_reg_array_body,,PA_5,input_val,16:16,24,ro,'0,,
28_reg_array_body,,PA_6,output_en,0:0,28,rw,'0,,
28_reg_array_body,,PA_6,input_en,1:1,28,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_6,drive_strength,3:2,28,rw,'0,,
28_reg_array_body,,PA_6,slew_rate,4:4,28,rw,'0,,
28_reg_array_body,,PA_6,pull_up,5:5,28,rw,'0,,
28_reg_array_body,,PA_6,pull_down,6:6,28,rw,'0,,
28_reg_array_body,,PA_6,hysteresis,7:7,28,rw,'0,,
28_reg_array_body,,PA_6,sel,10:8,28,rw,'0,,
28_reg_array_body,,PA_6,input_val,16:16,28,ro,'0,,
28_reg_array_body,,PA_7,output_en,0:0,32,rw,'0,,
28_reg_array_body,,PA_7,input_en,1:1,32,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_7,drive_strength,3:2,32,rw,'0,,
28_reg_array_body,,PA_7,slew_rate,4:4,32,rw,'0,,
28_reg_array_body,,PA_7,pull_up,5:5,32,rw,'0,,
28_reg_array_body,,PA_7,pull_down,6:6,32,rw,'0,,
28_reg_array_body,,PA_7,hysteresis,7:7,32,rw,'0,,
28_reg_array_body,,PA_7,sel,10:8,32,rw,'0,,
28_reg_array_body,,PA_7,input_val,16:16,32,ro,'0,,
28_reg_array_body,,PA_8,output_en,0:0,36,rw,'0,,
28_reg_array_body,,PA_8,input_en,1:1,36,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_8,drive_strength,3:2,36,rw,'0,,
28_reg_array_body,,PA_8,slew_rate,4:4,36,rw,'0,,
28_reg_array_body,,PA_8,pull_up,5:5,36,rw,'0,,
28_reg_array_body,,PA_8,pull_down,6:6,36,rw,'0,,
28_reg_array_body,,PA_8,hysteresis,7:7,36,rw,'0,,
28_reg_array_body,,PA_8,sel,10:8,36,rw,'0,,
28_reg_array_body,,PA_8,input_val,16:16,36,ro,'0,,
28_reg_array_body,,PA_9,output_en,0:0,40,rw,'0,,
28_reg_array_body,,PA_9,input_en,1:1,40,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_9,drive_strength,3:2,40,rw,'0,,
28_reg_array_body,,PA_9,slew_rate,4:4,40,rw,'0,,
28_reg_array_body,,PA_9,pull_up,5:5,40,rw,'0,,
28_reg_array_body,,PA_9,pull_down,6:6,40,rw,'0,,
28_reg_array_body,,PA_9,hysteresis,7:7,40,rw,'0,,
28_reg_array_body,,PA_9,sel,10:8,40,rw,'0,,
28_reg_array_body,,PA_9,input_val,16:16,40,ro,'0,,
28_reg_array_body,,PA_10,output_en,0:0,44,rw,'0,,
28_reg_array_body,,PA_10,input_en,1:1,44,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_10,drive_strength,3:2,44,rw,'0,,
28_reg_array_body,,PA_10,slew_rate,4:4,44,rw,'0,,
28_reg_array_body,,PA_10,pull_up,5:5,44,rw,'0,,
28_reg_array_body,,PA_10,pull_down,6:6,44,rw,'0,,
28_reg_array_body,,PA_10,hysteresis,7:7,44,rw,'0,,
28_reg_array_body,,PA_10,sel,11:8,44,rw,'0,,
28_reg_array_body,,PA_10,input_val,16:16,44,ro,'0,,
28_reg_array_body,,PA_11,output_en,0:0,48,rw,'0,,
28_reg_array_body,,PA_11,input_en,1:1,48,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_11,drive_strength,3:2,48,rw,'0,,
28_reg_array_body,,PA_11,slew_rate,4:4,48,rw,'0,,
28_reg_array_body,,PA_11,pull_up,5:5,48,rw,'0,,
28_reg_array_body,,PA_11,pull_down,6:6,48,rw,'0,,
28_reg_array_body,,PA_11,hysteresis,7:7,48,rw,'0,,
28_reg_array_body,,PA_11,sel,10:8,48,rw,'0,,
28_reg_array_body,,PA_11,input_val,16:16,48,ro,'0,,
28_reg_array_body,,PA_12,output_en,0:0,52,rw,'0,,
28_reg_array_body,,PA_12,input_en,1:1,52,rw,'0,::rst_val[19]=1'b1::rst_val[20]=1'b1,
28_reg_array_body,,PA_12,drive_strength,3:2,52,rw,'0,,
28_reg_array_body,,PA_12,slew_rate,4:4,52,rw,'0,,
