reg_array,field_array,XZ,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,module_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,RST_CTRL,rst,0:0,4,rw,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_sts_clr,1:1,4,rw_pulse,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_key,31:24,4,rw,'0,::key,
,,RST_STS,rst_sts,0:0,8,ro,'0,,
,,CLK_CTRL,clk_en,0:0,12,rw,'0,,
,,INTR_EVENT,bor,0:0,16,rw_w1c,'0,,
,,INTR_EVENT,clk_lf_mon_fault,1:1,16,rw_w1c,'0,,
,,INTR_EVENT,clk_32mhz_req,2:2,16,rw_w1c,'0,,
,,INTR_EN,bor_en,0:0,20,rw_me,'0,,
,,INTR_EN,clk_lf_mon_fault_en,1:1,20,rw_me,'0,,
,,INTR_EN,clk_32mhz_req_en,2:2,20,rw_me,'0,,
,,CLK_PWR_EN,hf_osc_pwr_en,0:0,24,rw,1,,
,,CLK_PWR_EN,hf_xo_pwr_en,4:4,24,rw,'0,,
,,CLK_PWR_EN,pll_pwr_en,8:8,24,rw,'0,,
,,CLK_PWR_EN,lf_osc_pwr_en,12:12,24,rw,1,,
,,CLK_PWR_EN,lf_xo_pwr_en,16:16,24,rw,'0,,
,,ANA_CLK_EN,hf_osc_clk_en_ovrd_val,0:0,28,rw,'0,,software clock gate enable for clk_hf_osc
,,ANA_CLK_EN,hf_osc_clk_en_ovrd_en,1:1,28,rw,'0,,
,,ANA_CLK_EN,pll_clk_en_ovrd_val,4:4,28,rw,'0,,software clock gate enable for clk_pll
,,ANA_CLK_EN,pll_clk_en_ovrd_en,5:5,28,rw,'0,,
,,ANA_CLK_EN,hf_xo_or_ext_clk_ovrd_val,8:8,28,rw,'0,,software clock gate enable for clk_hf_xo_or_ext
,,ANA_CLK_EN,hf_xo_or_ext_clk_ovrd_en,9:9,28,rw,'0,,
,,HF_CLK_CTRL,use_clk_pll,0:0,32,rw,'0,,Set  '1' to select between clk_pll and clk_hf_xo_or_ext
,,HF_CLK_CTRL,use_hf_osc,4:4,32,rw,1,,Set  '1' to select between clk_hf_osc
,,HF_CLK_CTRL,hf_xo_or_ext_div,15:12,32,rw,'0,,Division value to get 4MHz clock from External HF clock selected
,,HF_CLK_CTRL,use_precision_clk,16:16,32,rw,'0,,
,,HF_CLK_CTRL,hf_xo_en,20:20,32,rw,'0,,
,,HF_CLK_CTRL,hf_xo_or_ext_chng_time,27:24,32,rw,'0,,
,,HF_CLK_CTRL,hf_osc_code_chng_time,31:28,32,rw,'0,,
,,HF_OSC_CLK_CTRL,hf_osc_freq,3:0,36,rw,'0,,
,,HF_OSC_CLK_CTRL,hf_osc_div1,7:4,36,rw,'0,,HF internal osciallator divided value
,,HF_OSC_CLK_CTRL,hf_osc_div2,11:8,36,rw,'0,,HF internal osciallator divided value
,,HF_OSC_CLK_CTRL,hf_osc_4mhz_in_stop,12:12,36,rw,'0,,HF internal osciallator frequency is forced to 4MHz in STOP mode
,,HF_OSC_CLK_CTRL,hf_osc_disable_in_stop,13:13,36,rw,'0,,Disable HF internal oscillator in stop mode. HW will automatically select LF clock for clk_apb in stop mode when this bit is set.
,,HF_OSC_CLK_CTRL,hf_osc_disable,14:14,36,rw,'0,,"Disable HF internal oscillator in RUN, SLEEP and STOP modes. HW will automatically select LF clock for clk_ahb & clk_apb in stop mode when this bit is set."
,,LF_CLK_CTRL,lf_xo_en,0:0,40,rw,'0,,
,,LF_CLK_CTRL,lf_osc_en,4:4,40,rw,1,,
