reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'h97],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'h97],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'h97],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,BUS_CLK_FORCE,bus_clk_force_32mhz,0:0,16,rw,'0,::locked[bus_clk_force_key==8'h97],
,,BUS_CLK_FORCE,bus_clk_force_key,31:24,16,rw,'0,::key,
,,CLK_CTRL,clk_en,0:0,20,rw,'0,,
,,INTR_STS,intr_first,3:0,24,ro,'0,,
,,INTR_EVENT,prd0,0:0,28,rw_w1c,'0,,
,,INTR_EVENT,prd1,1:1,28,rw_w1c,'0,,
,,INTR_EVENT,alarm0,2:2,28,rw_w1c,'0,,
,,INTR_EVENT,alarm1,3:3,28,rw_w1c,'0,,
,,INTR_EVENT,rtc_rdy,4:4,28,rw_w1c,'0,,
,,INTR_EVENT,interval_alarm,5:5,28,rw_w1c,'0,,
,,INTR_EN,prd0_en,0:0,32,rw_me,'0,,
,,INTR_EN,prd1_en,1:1,32,rw_me,'0,,
,,INTR_EN,alarm0_en,2:2,32,rw_me,'0,,
,,INTR_EN,alarm1_en,3:3,32,rw_me,'0,,
,,INTR_EN,rtc_rdy_en,4:4,32,rw_me,'0,,
,,INTR_EN,interval_alarm_en,5:5,32,rw_me,'0,,
,,INTR_NMI_EN,prd0_nmi_en,0:0,36,rw_me,'0,,
,,INTR_NMI_EN,prd1_nmi_en,1:1,36,rw_me,'0,,
,,INTR_NMI_EN,alarm0_nmi_en,2:2,36,rw_me,'0,,
,,INTR_NMI_EN,alarm1_nmi_en,3:3,36,rw_me,'0,,
,,INTR_NMI_EN,rtc_rdy_nmi_en,4:4,36,rw_me,'0,,
,,INTR_NMI_EN,interval_alarm_nmi_en,5:5,36,rw_me,'0,,
,,EVENT_EN,prd0_event_en,0:0,40,rw_me,'0,,
,,EVENT_EN,prd1_event_en,1:1,40,rw_me,'0,,
,,EVENT_EN,alarm0_event_en,2:2,40,rw_me,'0,,
,,EVENT_EN,alarm1_event_en,3:3,40,rw_me,'0,,
,,EVENT_EN,rtc_rdy_event_en,4:4,40,rw_me,'0,,
,,EVENT_EN,interval_alarm_event_en,5:5,40,rw_me,'0,,
,,INTR_SW_SET,prd0_sw_set,0:0,44,rw_pulse,'0,,
,,INTR_SW_SET,prd1_sw_set,1:1,44,rw_pulse,'0,,
,,INTR_SW_SET,alarm0_sw_set,2:2,44,rw_pulse,'0,,
,,INTR_SW_SET,alarm1_sw_set,3:3,44,rw_pulse,'0,,
,,INTR_SW_SET,rtc_rdy_sw_set,4:4,44,rw_pulse,'0,,
,,INTR_SW_SET,interval_alarm_sw_set,5:5,44,rw_pulse,'0,,
,,DEBUG_CTL,intr_en_during_debug,0:0,48,rw,'0,,
,,DEBUG_CTL,ctr_en_during_debug,1:1,48,rw,'0,,
,,RTC_CTL,rtc_bcd,0:0,52,rw,'0,,
,,SEC_CTL,sec_bin,5:0,56,rw_we,'0,,
,,SEC_CTL,sec_lsb_bcd,9:6,56,rw_we,'0,,
,,SEC_CTL,sec_msb_bcd,13:10,56,rw_we,'0,,
