reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,module_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'hAB],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'hAB],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,clk_scaler,9:0,16,rw,'0,Scaler value on top CLK_DIV to generate master SPI clock,
,,CLK_DIV,div_ratio,4:0,20,rw,'0,Clock division value of the clock selected by CLKSEL. Division value is added by 1 to the programmed value,
,,CLKSEL,clk_sel,1:0,24,rw,'0,"Selects the source for clk_spi 0: clk_ahb 1: clk_4mhz, 2: clk_lf",
,,MOT_MOD_CNTRL,clock_polarity,0:0,28,rw,'0,,
,,MOT_MOD_CNTRL,clock_phase,8:8,28,rw,'0,,
,,PARITY_CTRL,parity_en,0:0,32,rw,'0,,
,,PARITY_CTRL,even_parity,8:8,32,rw,'0,,
,,CMD_DATA_CTRL,cmd_data_mode_en,0:0,36,rw,'0,,
,,CMD_DATA_CTRL,cmd_data_mode_val,11:8,36,rw,'0,,Matser mode
,,LOOPBACK_CTRL,loopback_mode,0:0,40,rw,'0,,
,,DATAFRAME_CTRL,data_size_sel,4:0,44,rw,'0,,Number of bits on data frame
,,DATAFRAME_CTRL,msb_first,8:8,44,rw,'0,,1: msb is transmitted first 0: lsb is transmitted first
,,DATAFRAME_CTRL,data_out_disable,16:16,44,rw,'0,,Unused
,,MODE_CTRL,spi_en,0:0,48,rw,'0,,
,,MODE_CTRL,peripheral_mode,8:8,48,rw,'0,,0: Controller 1: peripheral
,,MODE_CTRL,frame_format,18:16,48,rw,'0,,0: Motoroal format 1: TI format 2: DSPI 3: QSPI
,,CS_CTRL,cs_sel,4:0,52,rw,'0,,
,,CS_CTRL,soft_cs_en,8:8,52,rw,'0,,Soft ware control for driving cs is enabled
,,CS_CTRL,soft_cs,16:16,52,rw,'0,,
,,CS_SETUP_HOLD_CNT,cs_setup_cnt,7:0,56,rw,'0,,Num of clk_spi cycle of CS setup time
,,CS_SETUP_HOLD_CNT,cs_hold_cnt,15:8,56,rw,'0,,Num of clk_spi cycle of CS hold time
,,SCLK_CTRL,sclk_removal,0:0,60,rw,'0,,Used in master mode: 0: SCLK stops after receive is done 1: SCLK stops after transmission is done
,,QSPI_CTRL,qspi_first,0:0,64,rw,'0,,0: Frames in normal mode are sent/received first 1: Frames in QSPI mode are sent/received first
,,QSPI_CTRL,nrml_spi_frames_in_qspi,15:8,64,rw,'0,,Number of SPI frames in normal mode
,,QSPI_CTRL,frames_in_qspi,23:16,64,rw,'0,,Number of SPI frames in QSPI mode
,,QSPI_CTRL,frames_in_wmode_in_qspi,31:24,64,rw,'0,,Applicable only for TX
,,DSPI_CTRL,dspi_first,0:0,68,rw,'0,,0: Frames in normal mode are sent/received first 1: Frames in DSPI mode are sent/received first
,,DSPI_CTRL,nrml_spi_frames_in_dspi,15:8,68,rw,'0,,Number of SPI frames in normal mode
,,DSPI_CTRL,frames_in_dspi,23:16,68,rw,'0,,Number of SPI frames in normal mode
,,DSPI_CTRL,frames_in_wmode_in_dspi,31:24,68,rw,'0,,Applicable only for TX
,,TX_CTRL,repeat_tx_data,7:0,72,rw,'0,,Number of SPI frames to be repeated after FIFO is empty
