reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,modue_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'h99],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'h99],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'h99],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,clk_en,0:0,16,rw,'0,,
,,INTR_STS,intr_first,5:0,20,ro,'0,,
,,INTR_EVENT,ctr_zero,0:0,24,rw_w1c,'0,,
,,INTR_EVENT,ctr_load,1:1,24,rw_w1c,'0,,
,,INTR_EVENT,ccd_0,2:2,24,rw_w1c,'0,,
,,INTR_EVENT,ccu_0,3:3,24,rw_w1c,'0,,
,,INTR_EVENT,ccd_1,4:4,24,rw_w1c,'0,,
,,INTR_EVENT,ccu_1,5:5,24,rw_w1c,'0,,
,,INTR_EVENT,ccd_2,6:6,24,rw_w1c,'0,,
,,INTR_EVENT,ccu_2,7:7,24,rw_w1c,'0,,
,,INTR_EVENT,ccd_3,8:8,24,rw_w1c,'0,,
,,INTR_EVENT,ccu_3,9:9,24,rw_w1c,'0,,
,,INTR_EVENT,ccd_4,10:10,24,rw_w1c,'0,,
,,INTR_EVENT,ccu_4,11:11,24,rw_w1c,'0,,
,,INTR_EVENT,ccd_5,12:12,24,rw_w1c,'0,,
,,INTR_EVENT,ccu_5,13:13,24,rw_w1c,'0,,
,,INTR_EVENT,fault,14:14,24,rw_w1c,'0,,
,,INTR_EVENT,trig_ov,15:15,24,rw_w1c,'0,,
,,INTR_EVENT,rctr_zero,16:16,24,rw_w1c,'0,,
,,INTR_EVENT,qei_ctr_dc,17:17,24,rw_w1c,'0,,
,,INTR_EVENT,qei_err,18:18,24,rw_w1c,'0,,
,,INTR_EN_0,ctr_zero_en,0:0,28,rw_me,'0,,
,,INTR_EN_0,ctr_load_en,1:1,28,rw_me,'0,,
,,INTR_EN_0,ccd_0_en,2:2,28,rw_me,'0,,
,,INTR_EN_0,ccu_0_en,3:3,28,rw_me,'0,,
,,INTR_EN_0,ccd_1_en,4:4,28,rw_me,'0,,
,,INTR_EN_0,ccu_1_en,5:5,28,rw_me,'0,,
,,INTR_EN_0,ccd_2_en,6:6,28,rw_me,'0,,
,,INTR_EN_0,ccu_2_en,7:7,28,rw_me,'0,,
,,INTR_EN_0,ccd_3_en,8:8,28,rw_me,'0,,
,,INTR_EN_0,ccu_3_en,9:9,28,rw_me,'0,,
,,INTR_EN_0,ccd_4_en,10:10,28,rw_me,'0,,
,,INTR_EN_0,ccu_4_en,11:11,28,rw_me,'0,,
,,INTR_EN_0,ccd_5_en,12:12,28,rw_me,'0,,
,,INTR_EN_0,ccu_5_en,13:13,28,rw_me,'0,,
,,INTR_EN_0,fault_en,14:14,28,rw_me,'0,,
,,INTR_EN_0,trig_ov_en,15:15,28,rw_me,'0,,
,,INTR_EN_1,rctr_zero_en,0:0,32,rw_me,'0,,
,,INTR_EN_1,qei_ctr_dc_en,1:1,32,rw_me,'0,,
,,INTR_EN_1,qei_err_en,2:2,32,rw_me,'0,,
,,INTR_NMI_EN_0,ctr_zero_nmi_en,0:0,36,rw_me,'0,,
,,INTR_NMI_EN_0,ctr_load_nmi_en,1:1,36,rw_me,'0,,
