reg_array,field_array,reg_name,field_name,bits,addr,type,rst_val,attr,description
,,DESC,module_type,7:0,0,ro,'0,,
,,DESC,module_subtype,15:8,0,ro,'0,,
,,DESC,major_rev,19:16,0,ro,'0,,
,,DESC,minor_rev,23:20,0,ro,'0,,
,,PWR_EN,pwr_en,0:0,4,rw,'0,::locked[pwr_en_key==8'h7D],
,,PWR_EN,pwr_en_key,31:24,4,rw,'0,::key,
,,RST_CTRL,rst,0:0,8,rw,'0,::locked[rst_key==8'h7D],
,,RST_CTRL,rst_sts_clr,1:1,8,rw_pulse,'0,::locked[rst_key==8'h7D],
,,RST_CTRL,rst_key,31:24,8,rw,'0,::key,
,,RST_STS,rst_sts,0:0,12,ro,'0,,
,,CLK_CTRL,clk_en,0:0,16,rw,'0,,
,,CLK_SEL,clk_sel,1:0,20,rw_me,'0,,
,,CLK_DIV,clk_div,3:0,24,rw_me,'0,,
,,DBG_CTRL,run_on_halt,0:0,28,rw,'0,,
,,DBG_CTRL,soft_stop,1:1,28,rw,'0,,
,,INTR_EVENT,rcv_timeout,0:0,32,rw_w1c,'0,,
,,INTR_EVENT,frame_err,1:1,32,rw_w1c,'0,,
,,INTR_EVENT,parity_err,2:2,32,rw_w1c,'0,,
,,INTR_EVENT,underflow_err,3:3,32,rw_w1c,'0,,
,,INTR_EVENT,overflow_err,4:4,32,rw_w1c,'0,,
,,INTR_EVENT,maj_vote_err,5:5,32,rw_w1c,'0,,
,,INTR_EVENT,tx_fifo_almost_full,6:6,32,rw_w1c,'0,,
,,INTR_EVENT,tx_fifo_full,7:7,32,rw_w1c,'0,,
,,INTR_EVENT,tx_fifo_almost_empty,8:8,32,rw_w1c,'0,,
,,INTR_EVENT,tx_fifo_empty,9:9,32,rw_w1c,'0,,
,,INTR_EVENT,rx_fifo_almost_full,10:10,32,rw_w1c,'0,,
,,INTR_EVENT,rx_fifo_full,11:11,32,rw_w1c,'0,,
,,INTR_EVENT,rx_fifo_almost_empty,12:12,32,rw_w1c,'0,,
,,INTR_EVENT,rx_fifo_empty,13:13,32,rw_w1c,'0,,
,,INTR_EVENT,rcv_negedge,14:14,32,rw_w1c,'0,,
,,INTR_EVENT,rcv_posedge,15:15,32,rw_w1c,'0,,
,,INTR_EVENT,rx_int,16:16,32,rw_w1c,'0,,
,,INTR_EVENT,tx_int,17:17,32,rw_w1c,'0,,
,,INTR_EVENT,cts_int,18:18,32,rw_w1c,'0,,
,,INTR_EVENT,addr_match,19:19,32,rw_w1c,'0,,
,,INTR_EVENT,baud_err,20:20,32,rw_w1c,'0,,
,,INTR_EVENT,eot,21:21,32,rw_w1c,'0,,
,,INTR_EVENT,dma_done_tx_intr,22:22,32,rw_w1c,'0,,
,,INTR_EVENT,dma_done_rx_intr,23:23,32,rw_w1c,'0,,
,,INTR_EN1,rcv_timeout_en,0:0,36,rw_me,'0,,
,,INTR_EN1,frame_err_en,1:1,36,rw_me,'0,,
,,INTR_EN1,parity_err_en,2:2,36,rw_me,'0,,
,,INTR_EN1,underflow_err_en,3:3,36,rw_me,'0,,
,,INTR_EN1,overflow_err_en,4:4,36,rw_me,'0,,
,,INTR_EN1,maj_vote_err_en,5:5,36,rw_me,'0,,
,,INTR_EN1,tx_fifo_almost_full_en,6:6,36,rw_me,'0,,
,,INTR_EN1,tx_fifo_full_en,7:7,36,rw_me,'0,,
,,INTR_EN1,tx_fifo_almost_empty_en,8:8,36,rw_me,'0,,
,,INTR_EN1,tx_fifo_empty_en,9:9,36,rw_me,'0,,
,,INTR_EN1,rx_fifo_almost_full_en,10:10,36,rw_me,'0,,
,,INTR_EN1,rx_fifo_full_en,11:11,36,rw_me,'0,,
,,INTR_EN1,rx_fifo_almost_empty_en,12:12,36,rw_me,'0,,
